resto_id,nama_restoran,preferensi_makanan,lokasi_restoran,Harga_Rata-Rata_Makanan_di_Toko (Rp),rating_toko,jenis_suasana,toko_sering_diskon_(Ya/Tidak),variasi_makanan,pelayanan_khusus_pasangan_(Ya/Tidak),entertainment,keramaian_restoran,disajikan/ambil_sendiri,all_you_can_eat/ala_carte,Lokasi
RT257J1,Lupis Mbah Satinem ,Indonesia,5.75 km,35000,4.6,Santai,Tidak,Kue Lupis,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/5QNjpirVv8Ee78VN7
RT258J1,Kipo Bu Djito ꦏꦶꦥꦺꦴꦧꦸꦣ꧀ꦗꦶꦠꦺꦴ,Indonesia,4.07 km,49000,4.6,Santai,Tidak,Kue Kipo,Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/rSBpPWXWcLXCDT9B6
RT259J1,Pasar Pathuk,Indonesia,4.25 km,35000,4.4,Santai,Tidak,"Mie Ayam Bandung, Yammie Pangsit, Wedang Tahu, Nasi Kuning, Martabak, Jenang Gempol, Bakpia Pathok, Ayam Goreng Suntari",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/VwKNdee7r2WQJyUFA
RT260J1,Kopi ampirono ,Indonesia,3.25 km,25000,4.3,Santai,Tidak,"Nasi Lodeh Kering, Nasi Sambel Terong, Tempe Garit, Bacem Tempe, Telur Dadar, Mie Rebus, Mie Goreng, Pop Mie, Pisang Goreng, Gembleg, Singkong Goreng,  Tempe Mendoan, Kopi Merapi, Teh Kalibiru, Es Milo, Piya-piya ",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/aSpTGtdTDuSMfWz4A
RT261J1,Angkringan Lik Man ,Indonesia,3.47 km,28000,4.5,Santai,Tidak,"Nasi Kucing, Tempe Bacem, Tahu Bacem, Sate Usus, Sate Keong, Ceker, Tahu Isi, Tempe Mendoan, Jadah Bakar, Kopi Jos, Teh Manis, Lemon Tea, Es Jeruk, Es Tape Ketan, Wedang Jahe",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/Jn9sQQ2hqrf6QU2B9
RT262J1,Lotek dan Gado-Gado Teteg Lempuyangan,Indonesia,1.02 km,18000,4.3,Santai,Tidak,"Gado-gado, Es Teh, Es Jeruk",Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/wY2K3BwjmMBMm8KM9
RT263J1,Panada & Puding RoBin,Indonesia,5.89 km,21000,5,Santai,Tidak,Kue Panada,Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/EPrnZDrV5emzu3cP6
RT264J1,Katombo Sulawesi Grilled Fish,Indonesia,5.03 km,27000,4.6,Santai,Tidak,"Bubur Manado, Ikan Bakar, Udang Bakar, Sop Ikan, Es Pisang Ijo",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/8EcPhrtruoj9zdiV6
RT265J1,"Cucur gula aren
KUE APANG BUGIS ꧋ꦏꦸꦮꦺꦄꦥꦁꦧꦸꦒꦶꦱ꧀",Indonesia,3.53 km,28000,5,Santai,Tidak,"Kue Cucur, Serabi, Cung-cung, Bolu Mekar",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/8Qy1ivPW5GYgjxdn8
RT266J1,"Putu, klepon Lempuyangan",Indonesia,1.34 km,18000,4.6,Santai,Tidak,"Kue Putu, Cenil, Klepon, Serabi, Cung-cung, Bolu Mekar",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/wa5EoSBGRvFNQSWT6
RT267J1,Martabak Telur & Terang Bulan Rahayu,Indonesia,0.93 km,15000,4.3,Santai,Tidak,"Martabak Telur, Terang Bulan",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/YerWDBFE2W6g1kz6A
RT268J1,Martabak Internasional,Indonesia,0.78 km,18000,4.4,Santai,Tidak,Martabak Manis,Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/bnihabh15DcF6uPL6
RT269J1,Kolak Pisang Biji Selasih,Indonesia,1.2 km,30000,4.3,Santai,Tidak,Kolak Pisang,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/Mjo5CZaXar7Z9a7C8
RT270J1,Lapis Legit Langgeng Sari,Indonesia,0.42 km,22000,4.3,Santai,Tidak,"Kue Lapis, Cung-cung ",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/XzDUiernuPRPTXVA8
